Operacja;Cmax;T;P
41300;12459;12.6812;0.674162
41400;12447;12.6179;0.0100857
41500;12487;12.555;0.327884
41600;12469;12.4924;0.527086
41700;12480;12.4301;0.00025193
41800;12437;12.3681;0.667466
41900;12358;12.3064;0.00763113
42000;12327;12.245;0.0573657
42100;12358;12.1839;0.0179226
42200;12372;12.1232;0.226556
42300;12454;12.0627;0.0260533
42400;12375;12.0025;0.035699
42500;12367;11.9427;0.000195332
42600;12298;11.8831;0.00022145
42700;12265;11.8238;0.000251429
42800;12313;11.7649;0.00260604
42900;12255;11.7062;0.181137
43000;12239;11.6478;1
43100;12335;11.5897;6.74216e-06
43200;12259;11.5319;0.00599849
43300;12308;11.4744;0.00158186
43400;12272;11.4171;0.000829577
43500;12346;11.3602;0.00230232
43600;12276;11.3035;0.000496346
43700;12290;11.2472;0.449238
43800;12317;11.1911;0.914519
43900;12370;11.1352;0.00417725
44000;12349;11.0797;0.0100216
44100;12334;11.0244;0.000644324
44200;12323;10.9695;0.0181128
44300;12282;10.9147;0.000138165
44400;12278;10.8603;0.00398704
44500;12201;10.8061;4.5163e-06
44600;12185;10.7522;0.00871076
44700;12216;10.6986;0.0801632
44800;12332;10.6453;13.8777
44900;12216;10.5922;0.0189643
45000;12238;10.5393;0.0127197
45100;12206;10.4868;4.48305e-05
45200;12252;10.4345;0.0317422
45300;12236;10.3824;4.01749e-06
45400;12322;10.3306;3.87751
45500;12334;10.2791;1.62649
45600;12330;10.2278;0.0396967
45700;12285;10.1768;0.611823
45800;12306;10.1261;0.000370594
45900;12366;10.0756;0.0104046
46000;12351;10.0253;0.0304654
46100;12357;9.97531;0.0181352
46200;12300;9.92555;0.000865239
46300;12268;9.87605;0.44484
46400;12261;9.82679;0.000593975
46500;12248;9.77778;4.91587e-05
46600;12266;9.72901;0.00209726
46700;12305;9.68048;5.78987
46800;12279;9.6322;0.00197121
46900;12341;9.58416;0.00321915
47000;12362;9.53636;7.89798e-07
47100;12403;9.48879;0.00375173
47200;12390;9.44147;5.27384e-05
47300;12352;9.39437;0.225316
47400;12374;9.34752;0.200949
47500;12382;9.3009;0.000107405
47600;12344;9.25451;6.99362
47700;12383;9.20835;0.000448145
47800;12360;9.16242;0.000310767
47900;12288;9.11672;0.00894547
48000;12333;9.07125;0.0456535
48100;12423;9.02601;0.368941
48200;12382;8.98099;0.00427073
48300;12398;8.93619;0.106662
48400;12367;8.89162;2.86808e-05
48500;12413;8.84728;4.99463e-06
48600;12377;8.80315;0.00216753
48700;12449;8.75924;0.160953
48800;12379;8.71555;0.0226786
48900;12387;8.67208;1
49000;12386;8.62883;0.00170536
49100;12349;8.58579;0.00373267
49200;12363;8.54297;0.00112586
49300;12328;8.50036;1
49400;12355;8.45796;0.169742
49500;12320;8.41578;2.10607e-06
49600;12352;8.3738;1
49700;12318;8.33204;4.75998
49800;12343;8.29048;0.00439226
49900;12324;8.24913;0.00378638
50000;12300;8.20799;0.00108886
50100;12296;8.16705;5.57039e-05
50200;12328;8.12631;0.0194906
50300;12234;8.08578;1.62901e-08
50400;12266;8.04545;0.000577023
50500;12305;8.00533;0.0440284
50600;12264;7.9654;0.0382306
50700;12256;7.92567;6.22854e-06
50800;12332;7.88614;2.16998e-07
50900;12326;7.84681;0.00788546
51000;12337;7.80767;0.0597407
51100;12305;7.76873;1.05838e-05
51200;12288;7.72998;4.59518e-11
51300;12290;7.69142;0.522007
51400;12356;7.65306;7.81084e-06
51500;12355;7.61489;3.12213e-05
51600;12323;7.57691;0.234153
51700;12254;7.53912;9.2815e-05
51800;12245;7.50152;6.78605e-05
51900;12245;7.4641;0.00919487
52000;12314;7.42688;0.0774381
52100;12311;7.38983;0.00115223
52200;12320;7.35297;4.74341e-08
52300;12313;7.3163;0.000158844
52400;12322;7.27981;1.50998
52500;12323;7.2435;2.01437e-06
52600;12276;7.20737;0.000735592
52700;12284;7.17142;0.00142471
52800;12255;7.13566;0.0458166
52900;12275;7.10007;3.42579e-05
53000;12290;7.06465;2.29497e-07
53100;12246;7.02942;4.86084e-06
53200;12234;6.99436;0.00504187
53300;12246;6.95947;0.00276352
53400;12220;6.92476;0.000111913
53500;12215;6.89022;3.79641e-06
53600;12232;6.85586;3.45666e-07
53700;12256;6.82166;0.199386
53800;12272;6.78764;7.60935e-06
53900;12270;6.75378;0.354709
54000;12238;6.7201;0.352871
54100;12252;6.68658;2.45302
54200;12229;6.65323;0.000403331
54300;12240;6.62005;0.00033346
54400;12232;6.58703;3.92278e-06
54500;12238;6.55417;1.45497e-05
54600;12282;6.52148;7.43268e-05
54700;12264;6.48896;7.02304e-06
54800;12309;6.45659;0.0718649
54900;12325;6.42439;0.00144798
55000;12304;6.39235;2.87532e-08
55100;12300;6.36046;9.80239e-07
55200;12292;6.32874;1.72069e-06
55300;12325;6.29717;8.53047e-05
55400;12279;6.26577;6.93847e-05
55500;12286;6.23452;7.84712e-08
55600;12256;6.20342;1.37762e-07
55700;12250;6.17248;8.10254e-09
55800;12266;6.14169;0.102335
55900;12246;6.11106;1.38718
56000;12241;6.08058;0.0193127
56100;12238;6.05025;0.000132989
56200;12210;6.02008;0.189928
56300;12210;5.99005;0.000169771
56400;12193;5.96017;1.31212e-05
56500;12191;5.93045;0.00084001
56600;12194;5.90087;0.000347436
56700;12193;5.87144;7.25624e-07
56800;12194;5.84215;5.0189e-12
56900;12207;5.81301;0.000109731
57000;12183;5.78402;0.00235514
57100;12232;5.75517;0.00271835
57200;12215;5.72647;7.194e-07
57300;12228;5.6979;3.25206e-06
57400;12218;5.66949;6.18098e-06
57500;12219;5.64121;4.08296e-06
57600;12186;5.61307;3.78552e-07
57700;12196;5.58508;0.00158725
57800;12180;5.55722;2.45004e-05
57900;12185;5.5295;0.00213597
58000;12153;5.50192;2.48932e-09
58100;12148;5.47448;2.08684e-05
58200;12157;5.44718;5.10799e-09
58300;12156;5.42001;1.55711e-05
58400;12158;5.39298;1.09851e-06
58500;12198;5.36608;2.0224e-05
58600;12147;5.33931;1.67853e-06
58700;12191;5.31268;0.00292315
58800;12165;5.28618;0.00343008
58900;12181;5.25982;0.00034051
59000;12172;5.23358;0.00474786
59100;12149;5.20748;6.70193e-10
59200;12158;5.18151;4.04378e-11
59300;12144;5.15566;0.00783593
59400;12160;5.12995;9.06633e-09
59500;12131;5.10436;0.000267002
59600;12166;5.0789;7.86222e-05
59700;12122;5.05357;1.84319e-08
59800;12121;5.02837;0.0125859
59900;12164;5.00329;1.69613e-07
60000;12184;4.97833;0.0179995
60100;12145;4.9535;1
60200;12153;4.9288;1.42478e-05
60300;12165;4.90421;1.23789e-07
60400;12177;4.87975;4.10261e-08
60500;12173;4.85541;3.63021e-07
60600;12185;4.8312;7.5172e-06
60700;12122;4.8071;1.65181e-06
60800;12121;4.78313;2.34732e-06
60900;12108;4.75927;1
61000;12109;4.73553;0.347897
61100;12109;4.71191;0.119758
